Título,Fecha,Formato,idTutor,Tutor,Instit_Tutor,idRevisor,Revisor,Instit_Revisor,Nota
Privación de libertad y egreso: efectos en los procesos de subjetivación de las mujeres de El Molino y sus respectivos grupos familiares,16/04/2015,Pre-proyecto de investigación,8906,Maria Ana Folle Chavannes,Instituto de Psicología Social,8823,Gabriela Etcheverry Catalogne,Instituto de Psicología Social,6
Primer vínculo y estructuración del psiquismo,16/04/2015,Monografía,8872,Laura Lourdes De Souza Alonso,Instituto de Psicologìa Clínica,8978,Rosa Catalina Zytner Tessler,Instituto de Psicología Clínica,11
La violencia en el lugar de trabajo y el papel de las organizaciones,16/04/2015,Monografía,8996,Silvia Virginia Franco Velazquez,Instituto de Psicologìa Social,8894,Luis Victor Leopold Costabile,Instituto de Psicología Social,8
Conciliar la vida personal y laboral frente al cambio social,16/04/2015,Monografía,9002,Tommy Constantino Wittke Tallar,Instituto de Psicología Social,8751,Lorena Funcasta Duce,"Instituto de Psicología, Educación y Desarrollo Humano",10
El tránsito de la escuela especial a la escuela común en discapacidad motriz desde la perspectiva docente,16/04/2015,Pre-proyecto de investigación,8758,Beatriz Gloria Falero Bonilla,Instituto de Fundamentos y Métodos en Psicología,8887,Andrea Jimena Viera Gomez,Instituto de Psicologìa Social,4
Acercamiento del uso de la Gestión por competencias en el Uruguay,16/04/2015,Pre-proyecto de investigación,8887,Lorena Funcasta Duce,Instituto de Psicologìa Social,9002,Tommy Constantino Wittke Tallar,Instituto de Psicologìa Social,8
Participación de los varones en la atención del cuidado familiar,16/04/2015,Pre-proyecto de investigación,8964,Pablo Adrián López Gómez,Instituto de Psicología de la Salud,8938,Maria Celia Robaina Sindin,Instituto de Psicología de la Salud,10
Equinoterapia y discapacidad. un abordaje desde la psicología,16/04/2015,Monografía,8799,Jose Eduardo Sivori Martinez,Instituto de Fundamentos y Métodos en Psicología,8758,Beatriz Gloria Falero Bonilla,Instituto de Fundamentos y Métodos en Psicología,10
LA SITUACIÓN DE LOS JÓVENES CON DISCAPACIDAD VISUAL EN EL TRÁNSITO POR LA EDUCACIÓN MEDIA Y SUPERIOR,16/04/2015,Pre-proyecto de investigación,8799,Jose Eduardo Sivori Martinez,Instituto de Fundamentos y Métodos en Psicología,8859,Jorge Fernando Salvo Spinatelli,Instituto de Fundamentos y Métodos en Psicología,10
Aportes para una Educación Social en Uruguay: análisis de dos experiencias desde el enfoque de la Psicología Comunitaria,17/04/2015,Monografía,8777,Clara Alicia Netto Soares Netto,Instituto de Psicologìa Social,8863,Juan Enrique Fernandez Romar,Instituto de Psicologìa Social,12
Indagación sobre la Adolescencia contemporánea como pasaje a vida adulta y posibles relaciones con los ritos de iniciación de las sociedades antiguas.,17/04/2015,Monografía,8941,Maria Josefa Pimienta Fernandez,Instituto de Psicología de la Salud,8912,Maria Julia Perea Negreira,Instituto de Psicologìa Social,12
La participación de los padres en el deporte base e iniciación: algunas consideraciones en el fútbol infantil uruguayo,17/04/2015,Monografía,8915,Maria Patricia Dominguez Perez,Instituto de Psicologìa Clínica,8859,Jorge Fernando Salvo Spinatelli,Instituto de Fundamentos y Métodos en Psicología,11
Políticas de Salud Mental en situación de privación de libertad: una mirada desde la bioética y los derechos humanos,17/04/2015,Pre-proyecto de investigación,8906,Maria Ana Folle Chavannes,Instituto de Psicología Social,8913,Maria De Las Mercedes Couso Lingeri,Instituto de Psicología Clínica,10
El contacto piel a piel en los primeros meses de vida,17/04/2015,Monografía,9004,Veronica Silvia Cambon Mihalfi,"Instituto de Psicología, Educación y Desarrollo Humano",8778,Claudia Lema Gleizer,"Instituto de Psicología, Educación y Desarrollo Humano",9
Interacción temprana y sensibilidad materna en la díada madre-bebe prematuro,17/04/2015,Monografía,9004,Veronica Silvia Cambon Mihalfi,"Instituto de Psicología, Educación y Desarrollo Humano",8778,Claudia Lema Gleizer,"Instituto de Psicología, Educación y Desarrollo Humano",12
El Psicoanálisis Multifamiliar y la especificidad del rol terapéutico,17/04/2015,Monografía,8872,Laura Lourdes De Souza Alonso,Instituto de Psicología Clínica,8913,Maria De Las Mercedes Couso Lingeri,Instituto de Psicología Clínica,12
Sujetando subjetividades. La violencia en la educación primaria.,17/04/2015,Monografía,8778,Claudia Lema Gleizer,"Instituto de Psicología, Educación y Desarrollo Humano",9004,Veronica Silvia Cambon Mihalfi,"Instituto de Psicología, Educación y Desarrollo Humano",3
Subjetivdad social en torno a las Personas con Discapacidad en la Inclusión Laboral,17/04/2015,Monografía,8799,Jose Eduardo Sivori Martinez,Instituto de Fundamentos y Métodos en Psicología,8758,Beatriz Gloria Falero Bonilla,Instituto de Fundamentos y Métodos en Psicología,7
Participación infantil: entre los discursos y las prácticas de la Educación Inicial,17/04/2015,Pre-proyecto de investigación,8763,Carlos Parafita,Instituto de Psicología de la Salud,8860,Jose Eduardo Viera Paparamborda,Instituto de Psicologìa de la Salud,8
Más allá del control: Apuntes para pensar la inserción de la Psicología en el campo de las Políticas Sociales,17/04/2015,Monografía,8775,Cecilia Maria Pereda Bartesaghi,"Instituto de Psicología, Educación y Desarrollo Humano",8820,Gabriela Ines Bañuls Campomar,"Instituto de Psicología, Educación y Desarrollo Humano",10
Ceibal en Inglés y la crisis en el rol docente: representaciones de los actores educativos,17/04/2015,Pre-proyecto de investigación,8730,Alejandro Fabio Raggio Melognio,Instituto de Psicologìa Social,8820,Gabriela Ines Bañuls Campomar,"Instituto de Psicología, Educación y Desarrollo Humano",10
Las desigualdades escolares desde las prácticas de escritura: una aproximación a  la perspectiva de Bernard Lahire.,28/04/2015,Monografía,8775,Cecilia Maria Pereda Bartesaghi,"Instituto de Psicología, Educación y Desarrollo Humano",8876,Leonardo Peluso Crespi,"Instituto de Psicología, Educación y Desarrollo Humano",12
TIC y educación inicial: nuevos modos de explorar el mundo.,29/04/2015,Monografía,8820,Gabriela Ines Bañuls Campomar,"Instituto de Psicología, Educación y Desarrollo Humano",8822,Gabriela Etchebehere Arenas,"Instituto de Psicología, Educación y Desarrollo Humano",9
"""Wo es war, soll ich werden"": lecturas de un aforismo de fin de análisis",01/06/2015,Monografía,8741,Ana Luisa Hounie Gonzalez,Instituto de Psicología Clínica,8749,Andrea Clara Bielli Pallela,Instituto de Psicología Clínica,12
"Motivos que identifican las adolescentes para interrumpir o continuar con su embarazo luego de la implementación de la ley N.º 18.987 de IVE en la ciudad de Montevideo, Uruguay",15/06/2015,Pre-proyecto de investigación,8964,Pablo Adrián López Gómez,Instituto de Psicología de la Salud,8728,Alejandra Lopez Gomez,Instituto de Psicología de la Salud,10
Importancia del rol paterno en el Vínculo Temprano. Nuevas paternidades.,15/06/2015,Monografía,8941,Maria Josefa Pimienta Fernandez,Instituto de Psicología de la Salud,8964,Pablo Adrián López Gómez,Instituto de Psicología de la Salud,11
El niño en el medio rural: su aprendizaje cotidiano y su incidencia en el aprendizaje escolar,15/06/2015,Pre-proyecto de investigación,8785,Daniela Carolina Diaz Santos,Instituto de Psicología de la Salud,8869,Karina Curione Bulla,Instituto de Fundamentos y Métodos en Psicología,10
Estudio Piloto del Impacto del Programa de Satisfactores Cotidianos en Población Uruguaya para Usuarios con Dependencia al Alcohol y otras Sustancias Adictivas,15/06/2015,Pre-proyecto de investigación,8869,Karina Curione Bulla,Instituto de Fundamentos y Métodos en Psicología,8785,Anabel Lilian Beniscelli Taibo,Instituto de Psicología de la Salud,7
La voz de los protagonistas. Acogimiento familiar una nueva experiencia.,15/06/2015,Pre-proyecto de investigación,8873,Laura Lopez Gallego,Instituto de Psicología Social,8745,Daniela Carolina Diaz Santos,Instituto de Psicología de la Salud,12
La significación de la muerte y el tiempo de duelo en el niño,15/06/2015,Monografía,8821,Gabriela Lilian Bruno Camares,Instituto de Psicología Clínica,8942,Maria Pilar Bacci Mañaricua,Instituto de Psicología Clínica,11
Actitud docente e Inclusión educativa: un estudio de caso sobre la influencia de la actitud en la practica docente en clases inclusivas,15/06/2015,Pre-proyecto de investigación,8785,Daniela Carolina Diaz Santos,Instituto de Psicología de la Salud,8933,Monica Elena Da Silva Ramos,Instituto de Fundamentos y Métodos en Psicología,8
El proceso psicodiagnóstico de niños con dificultades de aprendizaje,15/06/2015,Monografía,8915,Maria Patricia Dominguez Perez,Instituto de Psicología Clínica,8721,Adriana Maria Tortorella Boliolo,Instituto de Psicología Clínica,6
"El Niño y la construcción de un nuevo vínculo, desde las Instituciones",16/06/2015,Monografía,8866,Julia Beatriz Tabo Vazquez,Instituto de Psicología Clínica,8888,Lourdes Susana Salvo Sosa,Instituto de Psicología Clínica,10
Jóvenes y trabajo en contexto de vulnerabilidad,16/06/2015,Artículo científico,8776,Clara Elizabeth Weisz Kohn,Instituto de Fundamentos y Métodos en Psicología,9001,Sylvia Norma Montañez Fierro,Instituto de Fundamentos y Métodos en Psicología,11
¿El Arte Cura?,16/06/2015,Monografía,9001,Sylvia Norma Montañez Fierro,Instituto de Psicología Clínica,8935,Monica Elizabeth Olaza Lopez,Instituto de Fundamentos y Métodos en Psicología,12
"Cuerpo, imagen y goce: aproximaciones a la obesidad desde el psicoanálisis",16/06/2015,Monografía,9240,Veronica Perez Horvath,Instituto de Psicología Clínica,8817,Flora Ana Singer Sztajnic,Instituto de Psicología Clínica,9
Análisis conceptual de los fenómenos transferenciales y su manejo en Psicoterapias Psicoanalíticas Breves.,16/06/2015,Monografía,8852,Joaquin Rodriguez Nebot,Instituto de Psicología Clínica,8893,Luis Alberto Goncalvez Boggio,Instituto de Psicología Clínica,11
Lo escritural en la psicoterapia,16/06/2015,Monografía,8852,Joaquin Rodriguez Nebot,Instituto de Psicología Clínica,8838,Jose Guillermo Milan Ramos,Instituto de Psicología Clínica,10
Antecedentes sobre el uso de Facebook en adolescentes,16/06/2015,Monografía,8820,Gabriela Ines Bañuls Campomar,"Instituto de Psicología, Educación y Desarrollo Humano",8775,Cecilia Maria Pereda Bartesaghi,"Instituto de Psicología, Educación y Desarrollo Humano",5
Abordaje del proceso de duelo desde la psicoterapia psicoanalítica focal.,16/06/2015,Monografía,8953,Maria Nelly Rodriguez Ricciuto,Instituto de Psicología Clínica,8978,Rosa Catalina Zytner Tessler,Instituto de Psicología Clínica,12
La participación de la familia en la escuela rural. Un estudio de caso de dos escuelas del interior del país.,16/06/2015,Pre-proyecto de investigación,8785,Daniela Carolina Diaz Santos,Instituto de Psicología de la Salud,8933,Monica Elena Da Silva Ramos,Instituto de Fundamentos y Métodos en Psicología,9
Construcción y Mantenimiento de la Motivación para el Cambio de Conductas Adictivas con Foco en el Alcohol y Otras Drogas (AOD),16/06/2015,Artículo científico,8869,Karina Curione Bulla,Instituto de Fundamentos y Métodos en Psicología,8745,Anabel Lilian Beniscelli Taibo,Instituto de Psicología de la Salud,12
ABUSO SEXUAL INFANTIL DESDE UNA PERSPECTIVA DE GENERO Y DERECHOS HUMANOS.  LA MADRE ENTRE LAS MÚLTIPLES FACETAS DE LA RESPONSABILIDAD,16/06/2015,Artículo científico,8845,Irene Graciela Barros Vieitez,Instituto de Psicología Clínica,8866,Julia Beatriz Tabo Vazquez,Instituto de Psicología Clínica,9
Verleugnung y abuso sexual. El accionar de la defensa a partir de la vivencia traumática.,16/06/2015,Monografía,8953,Maria Nelly Rodriguez Ricciuto,Instituto de Psicología Clínica,8825,Gabriela Prieto Loureiro,Instituto de Psicología Clínica,9
El lugar de los padres en la Clínica Psicoanalítica Infantil,16/06/2015,Monografía,8801,Elika Capnikas Nemirovsky,Instituto de Psicología Clínica,8809,Evelina Kahan Kruchik,Instituto de Psicología Clínica,11
Bullying homofóbico y abandono escolar en Ciclo Básico: Indagando en las vivencias subjetivas de varones adolescentes de liceos públicos y privados de la ciudad de Montevideo,16/06/2015,Pre-proyecto de investigación,8964,Pablo Adrián López Gómez,Instituto de Psicología de la Salud,8941,Maria Josefa Pimienta Fernandez,Instituto de Psicología de la Salud,12
Las dificultades de aprendizaje desde una perspectiva psicoanalítica,16/06/2015,Monografía,8801,Elika Capnikas Nemirovsky,Instituto de Psicología Clínica,8809,Evelina Kahan Kruchik,Instituto de Psicología Clínica,10
El Estado y el “Otro” Reflexiones a la luz de la nueva generación de políticas sociales en Uruguay,18/06/2015,Artículo científico,8737,Alicia Raquel Rodriguez Ferreyra,Instituto de Psicologìa Social,8890,Lucia Pierri Aguerre,Instituto de Psicologìa Social,9
“Cuando la migración es una oportunidad”.,18/06/2015,Monografía,8858,Jorge Maceiras Besnati,Instituto de Psicología Social,8823,Gabriela Etcheverry Catalogne,Instituto de Psicología Social,7
Adolescencia y conductas de riesgo,18/06/2015,Monografía,8912,Maria Julia Perea Negreira,Instituto de Psicología Social,8858,Lucia Pierri Aguerre,Instituto de Psicologìa Social,9
El Fenómeno del Trastorno Obsesivo Compulsivo relacionado a la Consideración de las Consecuencias Futuras y la Ansiedad Futura,18/06/2015,Artículo científico,8731,Alejandro Vasquez Echeverria,Instituto de Fundamentos y Métodos en Psicología,8890,Karina Curione Bulla,Instituto de Psicologìa Social,8
Dispositivo de Intervención grupal sociodramático como recurso a las problemáticas laborales.,18/06/2015,Otro,8823,Gabriela Etcheverry Catalogne,Instituto de Psicología Social,8869,Jorge Maceiras Besnati,Instituto de Fundamentos y Métodos en Psicología,11
Migraciones Internas: Migraciones estudiantiles como rito de paso,18/06/2015,Monografía,8858,Jorge Maceiras Besnati,Instituto de Psicología Social,8823,Gabriela Etcheverry Catalogne,Instituto de Psicología Social,11
El juego y su importancia como recurso para el abordaje del psiquismo infantil dentro de la Hora diagnóstica,18/06/2015,Monografía,8915,Maria Patricia Dominguez Perez,Instituto de Psicología Clínica,8801,Elika Capnikas Nemirovsky,Instituto de Psicología Clínica,11
Acerca de la percepción de la sexualidad en la discapacidad motriz,18/06/2015,Pre-proyecto de investigación,8758,Beatriz Gloria Falero Bonilla,Instituto de Fundamentos y Métodos en Psicología,8856,Jorge Cohen Bonomo,Instituto de Fundamentos y Métodos en Psicología,11
La conciencia de la mortalidad y su impacto en la vida del ser humano  a partir del “El hombre y la muerte”  de Edgar Morin,18/06/2015,Monografía,8892,Luis Emilio Gimenez Guralnik,Instituto de Psicología de la Salud,9001,Sylvia Norma Montañez Fierro,Instituto de Fundamentos y Métodos en Psicología,11
Los cuentos infantiles clásicos y el género. Aportes para la práctica docente,22/06/2015,Pre-proyecto de investigación,8822,Gabriela Etchebehere Arenas,"Instituto de Psicología, Educación y Desarrollo Humano",9004,Veronica Silvia Cambon Mihalfi,"Instituto de Psicología, Educación y Desarrollo Humano",10
Interacciones tempranas y desarrollo del lenguaje,22/06/2015,Monografía,9004,Veronica Silvia Cambon Mihalfi,"Instituto de Psicología, Educación y Desarrollo Humano",8822,Gabriela Etchebehere Arenas,"Instituto de Psicología, Educación y Desarrollo Humano",11
"Una mirada del fenómeno de la delincuencia juvenil, a través de los conceptos de apego y función materna",22/06/2015,Monografía,8994,Silvana Beatriz Contino Nigro,Instituto de Psicología Clínica,8906,Maria Ana Folle Chavannes,Instituto de Psicologìa Social,8
La importancia del jugar en el niño.¿Qué sucede cuando hay dificultades e inhibiciones?,22/06/2015,Monografía,8821,Gabriela Lilian Bruno Camares,Instituto de Psicología Clínica,9240,Veronica Perez Horvath,Instituto de Psicología Clínica,11
Los significados de las TIC desde la perspectiva de las personas mayores en el contexto rural,22/06/2015,Pre-proyecto de investigación,8811,Fernando Berriel Taño,Instituto de Psicologìa Social,8906,Maria Lidia Carbajal Morales,Instituto de Psicologìa Social,12
"La categoría género en las producciones bibliográficas sobre motivación, liderazgo y dirección organizacional: Estrategias que conduzcan desde la ausencia a la producción necesaria.",22/06/2015,Artículo científico,8894,Luis Victor Leopold Costabile,Instituto de Psicología Social,8908,Maria Ana Folle Chavannes,Instituto de Psicologìa Social,10
"Memoria, trauma e identidad. Rupturas y reencuentros.",22/06/2015,Monografía,8833,Graciela Ines Loarche Guerra,Instituto de Psicología de la Salud,8999,Sonia Maria Mosquera Villamil,Instituto de Psicologìa Social,10
La Alfabetización digital y las competencias necesarias en el Siglo XXI en relación a los procesos de inclusión-exclusión,23/06/2015,Monografía,8806,Esther Haydee Angeriz Pampin,"Instituto de Psicología, Educación y Desarrollo Humano",8778,Claudia Lema Gleizer,"Instituto de Psicología, Educación y Desarrollo Humano",12
Resolviendo conflictos. Mediación escolar.,23/06/2015,Monografía,8778,Claudia Lema Gleizer,"Instituto de Psicología, Educación y Desarrollo Humano",8806,Esther Haydee Angeriz Pampin,"Instituto de Psicología, Educación y Desarrollo Humano",9
Lesiones músculoesqueléticas asociadas a la interpretación musical: su comprensión y clínica. Una exploración situada en la psicología.,23/06/2015,Monografía,8852,Joaquin Rodriguez Nebot,Instituto de Psicología Clínica,8893,Luis Alberto Goncalvez Boggio,Instituto de Psicología Clínica,12
Legitimación de Comportamientos Violentos e Incidencia de las Tecnologías de la Información y la Comunicación. En jovenes adoles,23/06/2015,Pre-proyecto de investigación,8913,Maria De Las Mercedes Couso Lingeri,Instituto de Psicología Clínica,8906,Maria Ana Folle Chavannes,Instituto de Psicologìa Social,11
Mujeres viviendo con VIH/SIDA: embarazo y factores biopsicosociales que impactan en su vida,23/06/2015,Monografía,9240,Veronica Perez Horvath,Instituto de Psicología Clínica,8749,Andrea Clara Bielli Pallela,Instituto de Psicología Clínica,6
La intervención como acto de creación,23/06/2015,Monografía,8741,Ana Luisa Hounie Gonzalez,Instituto de Psicología Clínica,8906,Maria Ana Folle Chavannes,Instituto de Psicologìa Social,NA
Intervenciones de la Psicología Comunitaria en Violencia Doméstica desde una perspectiva de Género,23/06/2015,Artículo científico,8737,Alicia Raquel Rodriguez Ferreyra,Instituto de Psicología Social,8726,Laura Lopez Gallego,Instituto de Fundamentos y Métodos en Psicología,9
Transcondicionados. La problemática LGBT y la práctica psicológica,23/06/2015,Otro,8769,Laura Cecilia Baroni Piedra Buena,"Instituto de Psicología, Educación y Desarrollo Humano",8873,Maria Julia Perea Negreira,Instituto de Psicología Social,11
Desarrollo de las Funciones Ejecutivas y su vinculación con el contexto,23/06/2015,Artículo científico,8867,Karen Adriana Moreira Tricot,"Instituto de Psicología, Educación y Desarrollo Humano",8912,Maria Alejandra Carboni Roman,Instituto de Psicologìa Social,11
Acciones Colectivas y Atletismo en Casavalle: ¿Deporte para la Acción?,23/06/2015,Pre-proyecto de investigación,8873,Laura Lopez Gallego,Instituto de Psicología Social,8912,Maria Julia Perea Negreira,Instituto de Psicologìa Social,11
Construyendo un porvenir,23/06/2015,Monografía,8858,Jorge Maceiras Besnati,Instituto de Psicología Social,8999,Sonia Maria Mosquera Villamil,Instituto de Psicologìa Social,5
El niño preescolar en la hipermodernidad,23/06/2015,Monografía,9010,Virginia Masse Fagundez,Instituto de Fundamentos y Métodos en Psicología,8758,Beatriz Gloria Falero Bonilla,Instituto de Fundamentos y Métodos en Psicología,7
Algunos aportes del cine al psicoanálisis,24/06/2015,Monografía,8838,Jose Guillermo Milan Ramos,Instituto de Psicología Clínica,8817,Flora Ana Singer Sztajnic,Instituto de Psicología Clínica,8
Aproximación a la violencia hacia las mujeres desde los mandatos percibidos en el lenguaje.  Experiencia recogida en los talleres de sensibilización en perspectiva de género dentro del Poder Judicial uruguayo,24/06/2015,Artículo científico,8845,Irene Graciela Barros Vieitez,Instituto de Psicología Clínica,9004,Maria Pilar Bacci Mañaricua,"Instituto de Psicología, Educación y Desarrollo Humano",12
En la voz de los adolescentes: Representaciones asociadas a la Participación en el marco de los Consejos de Participación Liceal,24/06/2015,Pre-proyecto de investigación,8839,Gustavo Daniel Conde Rosito,Instituto de Psicologìa de la Salud,8735,Victor Alberto Giorgi Gomez,Instituto de Psicología Social,10
Las transiciones educativas en las instituciones,24/06/2015,Artículo científico,8778,Claudia Lema Gleizer,"Instituto de Psicología, Educación y Desarrollo Humano",8942,Veronica Silvia Cambon Mihalfi,Instituto de Psicología Clínica,9
El engagement y su relación con la salud ocupacional y la calidad del servicio en el sector de enfermería.,24/06/2015,Pre-proyecto de investigación,8887,Lorena Funcasta Duce,Instituto de Psicología Social,9006,Alicia Isabel Migliaro Gonzalez,Instituto de Psicología de la Salud,12
El dolor del duelo desde el psicoanálisis. Matar al muerto.,24/06/2015,Monografía,8817,Flora Ana Singer Sztajnic,Instituto de Psicología Clínica,8942,Maria Pilar Bacci Mañaricua,Instituto de Psicología Clínica,6
Los aportes de las fuentes vivas de la información en futuras elecciones vocacionales de los estudiantes,24/06/2015,Otro,9268,Alicia Álvarez De León,Otros,8743,Carina Patricia Santiviago Ansuberro,Instituto de Psicología Clínica,11
Mediación musical en espacios terapeúticos,24/06/2015,Monografía,9001,Sylvia Norma Montañez Fierro,Instituto de Fundamentos y Métodos en Psicología,8762,Carina Patricia Santiviago Ansuberro,"Instituto de Psicología, Educación y Desarrollo Humano",9
ESPACIOS DE ORIENTACIÓN Y CONSULTA EN HOGARES ESTUDIANTILES RURALES DE EDUCACIÓN MEDIA,24/06/2015,Pre-proyecto de investigación,9268,Alicia Álvarez De León,Otros,9010,Virginia Masse Fagundez,Instituto de Fundamentos y Métodos en Psicología,7
Sobre la heterogeneidad del TOC. El Trastorno de Ansiedad del siglo XXI,24/06/2015,Monografía,8825,Gabriela Prieto Loureiro,Instituto de Psicología Clínica,8762,Ana Luz Protesoni Vitancurt,"Instituto de Psicología, Educación y Desarrollo Humano",10
El impacto de la intervención de los payasos de hospital en los niveles de ansiedad de niños con cáncer en tratamiento de quimioterapia,24/06/2015,Pre-proyecto de investigación,8939,Maria Panizza,Instituto de Psicología de la Salud,8833,Graciela Ines Loarche Guerra,Instituto de Psicología de la Salud,10
La construcción del Aparato psíquico en contextos de vulnerabilidad socioeconómica ,24/06/2015,Monografía,8825,Gabriela Prieto Loureiro,Instituto de Psicología Clínica,8953,Maria Nelly Rodriguez Ricciuto,Instituto de Psicología Clínica,10
La incidencia del vínculo educador/a – niño/a sobre el desarrollo integral del/la niño/a privado/a del derecho a vivir en familia en los Centros de atención integral de tiempo completo.,24/06/2015,Pre-proyecto de investigación,8776,Clara Elizabeth Weisz Kohn,Instituto de Fundamentos y Métodos en Psicología,9006,Victor Alberto Giorgi Gomez,Instituto de Psicología de la Salud,11
La ambivalencia de la categoría de anonimato,25/06/2015,Monografía,8858,Jorge Maceiras Besnati,Instituto de Psicología Social,8814,Fernando Texeira,Instituto de Psicología Social,10
Pre-proyecto de investigación: La  influencia de la organización del trabajo en las relaciones interpersonales y el clima laboral en la industria petrolera,25/06/2015,Pre-proyecto de investigación,8996,Silvia Virginia Franco Velazquez,Instituto de Psicología Social,9002,Tommy Constantino Wittke Tallar,Instituto de Psicologìa Social,7
Terapia asistida por perros y desarrollo de habilidades socioemocionales en niños con discapacidad intelectual,25/06/2015,Monografía,8799,Jose Eduardo Sivori Martinez,Instituto de Fundamentos y Métodos en Psicología,8758,Beatriz Gloria Falero Bonilla,Instituto de Fundamentos y Métodos en Psicología,12
Aportes para la consolidación de la práctica profesional de la psicología en los equipos multidisciplinarios de salud en el trabajo.,25/06/2015,Artículo científico,8894,Luis Victor Leopold Costabile,Instituto de Psicologìa Social,8996,Silvia Virginia Franco Velazquez,Instituto de Psicologìa Social,7
“Conformación psíquica del sujeto en contexto de crisis socioeconómica” El desempleo parental y su incidencia en la formación de los ideales: posibles repercusiones en la juventud y adultez,26/06/2015,Pre-proyecto de investigación,8776,Clara Elizabeth Weisz Kohn,Instituto de Fundamentos y Métodos en Psicología,8875,Laura Teresita Silvestri Piegas,Instituto de Fundamentos y Métodos en Psicología,10
Teoría de la mente en demencias fronto-temporales,26/06/2015,Monografía,8991,Luis Sergio Dansilio De Simone,Instituto de Fundamentos y Métodos en Psicología,8991,Luis Sergio Dansilio De Simone,Instituto de Fundamentos y Métodos en Psicología,11
El accionar perverso en el mobbing. Una mirada integral a un fenómeno multidimensional.,26/06/2015,Monografía,8953,Maria Nelly Rodriguez Ricciuto,Instituto de Psicología Clínica,8943,Maria Vilacoba,Instituto de Psicología de la Salud,11
La situación del fracaso escolar en contextos vulnerables: Aportes desde la Psicología Comunitaria,26/06/2015,Monografía,9006,Victor Alberto Giorgi Gomez,Instituto de Psicología de la Salud,8745,Anabel Lilian Beniscelli Taibo,Instituto de Psicología de la Salud,11
Cognición Episódica en el autismo,26/06/2015,Monografía,8731,Alejandro Vasquez Echeverria,Instituto de Fundamentos y Métodos en Psicología,8867,Karen Adriana Moreira Tricot,Instituto de Fundamentos y Métodos en Psicología,4
La participación desde la perspectiva de las personas mayores. Un  estudio cualitativo en el Este del Uruguay,29/06/2015,Artículo científico,8811,Fernando Berriel Taño,Instituto de Psicología Social,8934,Monica Sandra Llado Olivera,Instituto de Psicologìa Social,10
LA EXPERIENCIA DEL ABORTO VOLUNTARIO EN UN CONTEXTO LEGAL:  perspectiva de las usuarias de los servicios de salud en Montevideo,29/06/2015,Pre-proyecto de investigación,8728,Alejandra Lopez Gomez,Instituto de Psicología de la Salud,8785,Pablo Adrián López Gómez,Instituto de Psicología de la Salud,11
Promoción de resiliencia en la infancia,29/06/2015,Monografía,8833,Graciela Ines Loarche Guerra,Instituto de Psicología de la Salud,8964,Daniela Carolina Diaz Santos,Instituto de Psicología de la Salud,12
Adolescencia e Hipermodernidad,30/06/2015,Monografía,8912,Maria Julia Perea Negreira,Instituto de Psicologìa Social,8905,Maria Alejandra Arias Lozano,Instituto de Psicología de la Salud,6
Varones y aborto. La participación de los varones en la decisión de abortar de las mujeres,30/06/2015,Monografía,8728,Alejandra Lopez Gomez,Instituto de Psicología de la Salud,NA, ,NA,8
Revisión del concepto de resiliencia desde una perspectiva psicológica,30/06/2015,Monografía,9000,Maria Susana Martinez Ferreira,Instituto de Psicología Clínica,8801,Elika Capnikas Nemirovsky,Instituto de Psicología Clínica,10
Calidad de Vida Familiar en el Síndrome de Prader Willis,30/06/2015,Pre-proyecto de investigación,8758,Beatriz Gloria Falero Bonilla,Instituto de Fundamentos y Métodos en Psicología,8982,Rossina Laura Machiñena Spera,Instituto de Fundamentos y Métodos en Psicología,12
"Trastorno límite de personalidad: una mirada integral. Aportes desde el psicoanálisis, la sistémica y la psicoeducación",01/07/2015,Monografía,8856,Jorge Cohen Bonomo,Instituto de Fundamentos y Métodos en Psicología,8876,Leonardo Peluso Crespi,"Instituto de Psicología, Educación y Desarrollo Humano",9
"Entre violencias y Agresividad, consideraciones para posibles intervenciones psicológicas",14/07/2015,Monografía,8994,Silvana Beatriz Contino Nigro,Instituto de Psicología Clínica,8903,Margarita Maria Fraga Mereles,Instituto de Psicología Clínica,11
Prácticas Educativas en Enseñanza de Lectoescritura.,02/09/2015,Pre-proyecto de investigación,8820,Gabriela Ines Bañuls Campomar,"Instituto de Psicología, Educación y Desarrollo Humano",9004,Veronica Silvia Cambon Mihalfi,"Instituto de Psicología, Educación y Desarrollo Humano",12
El uso de las TIC como facilitador en el proceso de enseñanza-aprendizaje de niños con características atencionales diferentes,02/09/2015,Pre-proyecto de investigación,8820,Gabriela Ines Bañuls Campomar,"Instituto de Psicología, Educación y Desarrollo Humano",8736,Alicia Cristina Muniz Martoy,Instituto de Psicología Clínica,11
Apropiación de recursos tecnológicos por maestras y maestros de Nivel Inicial en las prácticas de aula,03/09/2015,Pre-proyecto de investigación,8820,Gabriela Ines Bañuls Campomar,"Instituto de Psicología, Educación y Desarrollo Humano",8785,Daniela Carolina Diaz Santos,Instituto de Psicología de la Salud,6
"Reflexión sobre el conocimiento de  sí mismo en el adolescente, su relación con las TIC y la educación",04/09/2015,Monografía,8820,Gabriela Ines Bañuls Campomar,"Instituto de Psicología, Educación y Desarrollo Humano",9010,Virginia Masse Fagundez,Instituto de Fundamentos y Métodos en Psicología,12
